total_unique_motifs,pop
308826,AFR
308745,AFR
308678,EAS
308646,AFR
308548,AFR
308502,AMR
308390,AFR
308339,AMR
308295,AMR
308272,AMR
308271,AMR
308238,EAS
308218,AFR
308216,AMR
308215,SAS
308204,AMR
308195,EAS
308175,AMR
308132,EAS
308119,AFR
308089,AFR
308080,AMR
308072,AFR
308062,AFR
308040,AFR
308024,AFR
308001,AFR
307988,AFR
307987,AFR
307979,AFR
307977,AFR
307960,AMR
307956,AFR
307954,AFR
307947,AFR
307926,AMR
307907,AMR
307901,AFR
307889,AMR
307889,AFR
307888,AFR
307884,AMR
307868,AMR
307840,EAS
307828,AMR
307801,AFR
307788,AFR
307778,AFR
307773,AMR
307740,AMR
307727,AFR
307718,AFR
307690,AFR
307687,AFR
307667,EAS
307655,AFR
307633,AMR
307630,AMR
307625,AFR
307611,AFR
307592,AMR
307581,AMR
307567,AMR
307526,AFR
307512,AFR
307507,AFR
307492,AFR
307486,AFR
307266,AMR
307254,AFR
306879,AMR
299375,AFR
299341,AFR
299152,AMR
298935,SAS
298693,AMR
298525,AFR
298502,AMR
298449,EAS
298380,AFR
298305,AFR
298290,AMR
298281,AFR
298185,AMR
298174,AMR
298146,EAS
298101,AMR
297851,AFR
